Index,Name1,Name,Date_of_birth,Season_year,Season,Team1,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,Shooting_Percentage,PowerPlay_Goals,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position1,Position,Height,Weight,x,Body_mass_index,Place_of_birth1,Place_of_birth,Age,Experience
1676,Justin DiBenedetto,జస్టిన్ డిబెనెడెట్టో,8/25/1988,2011,'10-'11,NYI,ఎన్.వై.ఐ,8,0,1,1,-2,2,6,0,0,0,0,0,0,0,9:04,72:31:00,81,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,183,85,25.4,25.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Etobicoke, Ontario","ఎటోబికోక్, అంటారియో",23,1
1677,Justin Duberman,జస్టిన్ డుబెర్మాన్,3/23/1970,1994,'93-'94,PIT,పిఐటి,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,84,24.5,24.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"New Haven, Connecticut","న్యూ హెవెన్, కనెక్టికట్",24,1
1678,Justin Falk,జస్టిన్ ఫాక్,10/11/1988,2010,'09-'10,MIN,ఎంఐఎన్,279,3,30,33,-63,219,201,0,1,0,0,1,0,0,7:33,0:00,42,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,196,101,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Snowflake, Manitoba","స్నోఫ్లేక్, మానిటోబా",22,1
1679,Justin Faulk,జస్టిన్ ఫాల్క్,3/20/1992,2012,'11-'12,CAR,సిఎఆర్,628,90,184,274,-103,297,1551,7.9,41,64,3,2,20,0,22:51,68:32:00,72,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,98,29.3,29.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"South St. Paul, Minnesota","దక్షిణ సెయింట్ పాల్, మిన్నెసోటా",20,1
1680,Justin Hocking,జస్టిన్ హాకింగ్,1/9/1974,1994,'93-'94,LA,ఎల్ఎ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0:00,51,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,193,93,25,25<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Stettler, Alberta","స్టెట్లర్, అల్బెర్టా",20,1
1681,Justin Holl,జస్టిన్ హోల్,1/30/1992,2018,'17-'18,TOR,టిఓఆర్,81,4,17,21,13,45,97,100,0,0,0,0,1,0,17:22,17:22,3,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,93,25.8,25.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Edina, Minnesota","ఎడినా, మిన్నెసోటా",26,1
1682,Justin Kurtz,జస్టిన్ కర్ట్జ్,1/14/1977,2002,'01-'02,VAN,విఎఎన్,27,3,5,8,-4,14,30,10,2,4,0,0,0,0,15:58,53:52:00,4,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Winnipeg, Manitoba","విన్నిపెగ్, మానిటోబా",25,1
1683,Justin Mapletoft,జస్టిన్ మాప్లెటాఫ్ట్,1/11/1981,2003,'02-'03,NYI,ఎన్.వై.ఐ,38,3,6,9,-2,8,27,16.7,1,0,0,1,0,0,12:17,33:46:00,45,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,185,91,26.6,26.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Lloydminster, Saskatchewan","లాయిడ్మిన్స్టర్, సస్కట్చేవాన్",22,1
1684,Justin Mercier,జస్టిన్ మెర్సియర్,6/25/1987,2010,'09-'10,COL,సిఓఎల్,9,1,1,2,2,0,5,20,0,0,0,0,0,0,7:11,32:21:00,43,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,86,26.5,26.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Erie, Pennsylvania","ఎరీ, పెన్సిల్వేనియా",23,1
1685,Justin Papineau,జస్టిన్ పాపినో,1/15/1980,2002,'01-'02,STL,ఎస్.టి.ఎల్ ,81,11,8,19,2,12,67,0,5,0,0,0,4,0,8:40,0:00,26,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,82,25.3,25.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Ottawa, Ontario","ఒట్టావా, అంటారియో",22,1
1686,Justin Peters,జస్టిన్ పీటర్స్,8/30/1986,2010,'09-'10,CAR,సిఎఆర్,83,0,0,0,0,0,0,NONE,0,0,0,0,0,0,54:13:00,NONE,NONE,8,25,38,0,9,21.66,2.83,2313,2083,0.905,3,Goaltender,గోల్ టెండర్ ,188,95,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Blyth, Ontario","బ్లైత్, అంటారియో",24,1
1687,Justin Pogge,జస్టిన్ పోగే,4/22/1986,2009,'08-'09,TOR,టిఓఆర్,7,0,0,0,0,0,0,NONE,0,0,0,0,0,0,53:06:00,NONE,35,6,1,4,0,1,4.36,4.36,173,146,0.844,0,Goaltender,గోల్ టెండర్ ,190,89,24.6,24.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Fort Mcmurray, Alberta","ఫోర్ట్ మెక్ముర్రే, అల్బెర్టా",23,1
1688,Justin Shugg,జస్టిన్ షుగ్,12/24/1991,2015,'14-'15,CAR,సిఎఆర్,3,0,0,0,0,2,3,0,0,0,0,0,0,0,5:42,0:00,52,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,180,84,25.9,25.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Niagara Falls, Ontario","నయాగరా జలపాతం, అంటారియో",24,1
1689,Justin Williams,జస్టిన్ విలియమ్స్,10/4/1981,2001,'00-'01,PHI,పిహెచ్ఐ,1264,320,477,797,110,766,3308,12.1,74,120,6,7,44,1,12:31,31:33:00,14,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,185,84,24.5,24.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Cobourg, Ontario","కోబోర్గ్, అంటారియో",20,1
1690,Jyrki Jokipakka,జిర్కి జోకిపక్క,8/20/1991,2015,'14-'15,DAL,డిఎఎల్,150,3,25,28,-2,34,114,0,0,0,0,0,1,0,16:31,84:12:00,3,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,98,27.1,27.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Tampere, Finland","టాంపేర్, ఫిన్లాండ్",24,1
1691,Jyrki Lumme,జిర్కి లుమ్మె,7/16/1966,1989,'88-'89,MTL,ఎంటిఎల్,985,114,354,468,79,620,1653,5.6,36,139,8,15,23,4,0:00,0:00,25,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,95,27.8,27.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Tampere,తంపిరే,23,1
1692,Kai Nurminen,కై నూర్మినెన్,3/29/1969,1997,'96-'97,LA,ఎల్ఎ,69,17,11,28,-4,24,113,14.3,4,4,0,0,1,1,0:00,0:00,11,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,185,90,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Turku,తుర్కు,28,1
1693,Kamil Kreps,కమిల్ క్రెప్స్,11/18/1984,2007,'06-'07,FLA,ఎఫ్ఎల్ఎ,232,18,42,60,4,71,279,5,2,3,1,1,4,0,11:13,78:32:00,28,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,188,88,24.9,24.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Litomerice, Czechoslovakia","లిటోమెరిస్, చెకోస్లోవేకియా",23,1
1694,Kamil Piros,కమిల్ పిరోస్,11/20/1978,2002,'01-'02,ATL,ఎటిఎల్,28,4,4,8,-2,10,23,0,1,2,0,0,1,0,12:12,97:39:00,20,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,183,88,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Most,మోస్ట్ ,24,1
1695,Karel Betik,కారెల్ బెటిక్,10/28/1978,1999,'98-'99,TB,టిబి,3,0,2,2,-3,2,2,0,0,0,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,94,26.6,26.6<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Karvina,కర్వినా,21,1
1696,Karel Pilar,కారెల్ పిలార్,12/23/1977,2002,'01-'02,TOR,టిఓఆర్,90,6,24,30,-2,42,128,3.1,2,9,0,0,2,0,16:03,92:18:00,5,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,94,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Prague, Czechoslovakia","ప్రేగ్, చెకోస్లోవేకియా",25,1
1697,Karel Rachunek,కారెల్ రచునెక్,8/27/1979,2000,'99-'00,OTT,ఓటిటి,371,22,118,140,49,227,532,0,12,49,1,2,4,0,8:03,0:00,28,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,100,28.3,28.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Gottwaldov, Czechoslovakia","గోట్వాల్డోవ్, చెకోస్లోవేకియా",21,1
1698,Kari Haakana,కరి హాకానా,11/8/1973,2003,'02-'03,EDM,ఇడిఎం,13,0,0,0,-2,4,2,0,0,0,0,0,0,0,7:55,0:00,29,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,101,29.5,29.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,Outokumpu,ఔటోకుంపు,30,1
1699,Kari Lehtonen,కరీ లెహ్టోనెన్,11/16/1983,2004,'03-'04,ATL,ఎటిఎల్,649,0,0,0,0,0,0,NONE,0,0,0,0,0,0,60:00:00,NONE,32,4,310,233,0,67,36.81,1.25,18920,17258,0.953,38,Goaltender,గోల్ టెండర్ ,193,95,25.5,25.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Helsinki, Finland","హెల్సింకి, ఫిన్లాండ్",21,1
1700,Karl Alzner,కార్ల్ అల్జ్నర్,9/24/1988,2009,'08-'09,WSH,డబ్ల్యు.ఎస్.హెచ్ ,686,20,110,130,54,219,625,3.2,0,2,0,3,2,0,19:25,116:32:00,27,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,97,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Burnaby, British Columbia","బర్నబీ, బ్రిటిష్ కొలంబియా",21,1
1701,Karl Dykhuis,కార్ల్ డైఖూయిస్,7/8/1972,1992,'91-'92,CHI,సిహెచ్ఐ,644,42,91,133,8,495,702,8.3,11,19,2,3,4,0,0:00,0:00,28,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,190,97,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Sept-Iles, Quebec","సెప్టెంబర్-ఇల్స్, క్యూబెక్",20,1
1702,Karl Stewart,కార్ల్ స్టీవర్ట్,6/30/1983,2004,'03-'04,ATL,ఎటిఎల్,69,2,4,6,-10,68,31,0,0,0,1,0,0,0,4:27,22:15,61,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,180,82,25.3,25.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Aurora, Ontario","అరోరా, అంటారియో",21,1
1703,Karlis Skrastins,కార్లిస్ స్క్రాస్టిన్స్,7/9/1974,1999,'98-'99,NSH,ఎన్‌ఎస్‌హెచ్,832,32,104,136,-45,375,695,0,1,5,4,5,8,1,0:00,0:00,37,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,94,27.5,27.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Riga, USSR","రిగా, యునైటెడ్ సోషలిస్ట్ సోవియట్ రిపబ్లిక్",25,1
1704,Karri Ramo,కర్రీ రామో,7/1/1986,2007,'06-'07,TB,టిబి,159,0,0,0,0,0,0,NONE,0,0,0,0,0,0,34:46:00,NONE,31,0,60,63,0,18,18.02,3.45,4388,3974,0.826,5,Goaltender,గోల్ టెండర్ ,188,93,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Asikkala, Finland","అసిక్కలా, ఫిన్లాండ్",21,1
1705,Kaspars Astashenko,కాస్పర్స్ అస్తాషెంకో,2/7/1975,2000,'99-'00,TB,టిబి,23,1,2,3,-6,8,7,0,0,0,0,0,0,0,16:48,134:23:00,62,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,93,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Riga, Latvia","రిగా, లాట్వియా",25,1
1706,Kaspars Daugavins,కాస్పర్స్ డౌగావిన్స్,5/18/1988,2010,'09-'10,OTT,ఓటిటి,91,6,9,15,-10,21,115,0,0,2,0,1,1,0,8:26,0:00,16,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,185,97,28.3,28.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Riga, USSR","రిగా, యునైటెడ్ సోషలిస్ట్ సోవియట్ రిపబ్లిక్",22,1
1707,Kay Whitmore,కే విట్మోర్,4/10/1967,1989,'88-'89,HAR,హెచ్ఎఆర్,155,0,0,0,0,0,0,NONE,0,0,0,0,0,0,60:00:00,NONE,35,3,60,64,16,0,33.17,3.33,4050,3542,0.896,4,Goaltender,గోల్ టెండర్ ,180,79,24.4,24.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Sudbury, Ontario","సడ్‌బరీ, అంటారియో",22,1
1708,Keaton Ellerby,కీటన్ ఎల్లెర్బీ,11/5/1988,2010,'09-'10,FLA,ఎఫ్ఎల్ఎ,212,4,23,27,-13,88,162,0,1,1,0,0,1,0,5:26,0:00,7,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,196,100,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Strathmore, Alberta","స్ట్రాత్‌మోర్, అల్బెర్టా",22,1
1709,Keith Acton,కీత్ ఆక్టన్,4/15/1958,1980,'79-'80,MTL,ఎంటిఎల్,1023,226,358,584,-30,1172,1690,0,33,65,11,11,29,5,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,173,76,25.4,25.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Stoufville, Ontario","స్టౌఫ్‌విల్లే, అంటారియో",22,1
1710,Keith Aldridge,కీత్ ఆల్డ్రిడ్జ్,7/20/1973,2000,'99-'00,DAL,డిఎఎల్,4,0,0,0,1,0,6,0,0,0,0,0,0,0,11:05,0:00,41,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,180,84,25.9,25.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Detroit, Michigan","డెట్రాయిట్, మిచిగాన్",27,1
1711,Keith Aucoin,కీత్ అకోయిన్,11/6/1978,2006,'05-'06,CAR,సిఎఆర్,145,17,32,49,3,22,165,0,2,4,0,0,2,0,5:19,37:16:00,15,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,173,78,26.1,26.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Waltham, Massachusetts","వాల్తామ్, మసాచుసెట్స్",28,1
1712,Keith Aulie,కీత్ ఆలీ,6/11/1989,2011,'10-'11,TOR,టిఓఆర్,167,4,10,14,-13,196,118,6.3,0,0,0,0,0,0,19:08,382:31:00,36,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,198,103,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Regina, Saskatchewan","రెజీనా, సస్కట్చేవాన్",22,1
1713,Keith Ballard,కీత్ బల్లార్డ్,11/26/1982,2006,'05-'06,PHX,పిహెచ్ఎక్స్,604,38,137,175,-13,612,645,7.8,7,40,4,4,4,0,19:59,42:00:00,2,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,180,92,28.4,28.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Baudette, Minnesota","బౌడెట్, మిన్నెసోటా",24,1
1714,Keith Brown,కీత్ బ్రౌన్,5/6/1960,1980,'79-'80,CHI,సిహెచ్ఐ,876,68,274,342,63,916,1477,1.9,16,76,3,10,5,2,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,87,25.4,25.4<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Corner Brook, Newfoundland","కార్నర్ బ్రూక్, న్యూఫౌండ్లాండ్",20,1
1715,Keith Carney,కీత్ కార్నీ,2/3/1970,1992,'91-'92,BUF,బియుఎఫ్,1018,45,183,228,164,904,865,5.9,5,20,3,8,9,2,0:00,0:00,4,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,188,93,26.3,26.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Providence, Rhode Island","ప్రొవిడెన్స్, రోడ్ ఐలాండ్",22,1
1716,Keith Jones,కీత్ జోన్స్,11/8/1968,1993,'92-'93,WSH,డబ్ల్యు.ఎస్.హెచ్ ,491,117,141,258,52,765,849,16.4,30,32,1,0,22,0,0:00,0:00,20,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,188,91,25.8,25.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Brantford, Ontario","బ్రాంట్‌ఫోర్డ్, అంటారియో",25,1
1717,Keith Primeau,కీత్ ప్రైమౌ,11/24/1971,1991,'90-'91,DET,డిఇటి,909,266,353,619,124,1541,1699,9.1,64,74,14,15,40,9,0:00,0:00,25,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,196,100,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Toronto, Ontario","టొరంటో, అంటారియో",20,1
1718,Keith Redmond,కీత్ రెడ్‌మండ్,10/25/1972,1994,'93-'94,LA,ఎల్ఎ,12,1,0,1,-3,20,9,11.1,0,0,0,0,0,0,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,190,93,25.8,25.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Richmond Hill, Ontario","రిచ్మండ్ హిల్, అంటారియో",22,1
1719,Keith Tkachuk,కీత్ తకాచుక్,3/28/1972,1992,'91-'92,WPG,డబ్ల్యుపిజి ,1201,538,527,1065,33,2219,3530,13.6,212,161,13,14,72,11,0:00,0:00,7,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,188,105,29.7,29.7<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Melrose, Massachusetts","మెల్రోస్, మసాచుసెట్స్",20,1
1720,Keith Yandle,కీత్ యాండిల్,9/9/1986,2007,'06-'07,PHX,పిహెచ్ఎక్స్,976,99,474,573,-48,564,2188,0,37,227,0,4,15,0,20:10,70:37:00,3,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Defence,డిఫెన్స్,185,89,26,26<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Boston, Massachusetts","బోస్టన్, మసాచుసెట్స్",21,1
1721,Kelly Buchberger,కెల్లీ బుచ్బెర్గర్,12/2/1966,1988,'87-'88,EDM,ఇడిఎం,1182,105,204,309,-177,2297,1063,10,5,7,13,17,26,2,0:00,0:00,7,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,188,95,26.9,26.9<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Langenburg, Saskatchewan","లాంగెన్‌బర్గ్, సస్కట్చేవాన్",22,1
1722,Kelly Chase,కెల్లీ చేజ్,10/25/1967,1990,'89-'90,STL,ఎస్.టి.ఎల్ ,458,17,36,53,-14,2017,232,11.1,0,1,0,0,4,0,0:00,0:00,39,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,183,91,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Porcupine Plain, Saskatchewan","పోర్కుపైన్ ప్లెయిన్, సస్కట్చేవాన్",23,1
1723,Kelly Fairchild,కెల్లీ ఫెయిర్‌చైల్డ్,4/9/1973,1996,'95-'96,TOR,టిఓఆర్,34,2,3,5,-3,6,25,0,0,0,0,0,0,0,0:00,0:00,20,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Centre,సెంటర్,180,90,27.8,27.8<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Hibbing, Minnesota","హిబ్బింగ్, మిన్నెసోటా",23,1
1724,Kelly Hrudey,కెల్లీ హ్రూడే,1/13/1961,1984,'83-'84,NYI,ఎన్.వై.ఐ,677,0,0,0,0,0,0,NONE,0,0,0,0,0,0,44:27:00,NONE,32,8,271,265,88,0,53.67,3.15,20328,18154,0.903,17,Goaltender,గోల్ టెండర్ ,178,86,27.1,27.1<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Edmonton, Alberta","ఎడ్మోంటన్, అల్బెర్టా",23,1
1725,Kelly Kisio,కెల్లీ కిసియో,9/18/1959,1983,'82-'83,DET,డిఇటి,761,229,429,658,0,768,1348,25,59,141,15,7,16,2,0:00,0:00,NONE,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Right_wing,రైట్ వింగ్,178,77,24.3,24.3<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Peace River, Alberta","పీస్ రివర్, అల్బెర్టా",24,1
1726,Kelly Miller,కెల్లీ మిల్లర్,3/3/1963,1985,'84-'85,NYR,ఎన్.వై.ఆర్,1057,181,282,463,71,512,1505,0,19,24,16,22,33,2,0:00,0:00,10,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,180,89,27.5,27.5<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Lansing, Michigan","లాన్సింగ్, మిచిగాన్",22,1
1727,Ken Baumgartner,కెన్ బామ్‌గార్ట్నర్,3/11/1966,1988,'87-'88,LA,ఎల్ఎ,696,13,41,54,-73,2242,290,11.8,0,0,0,1,1,1,0:00,0:00,22,NONE,0,0,0,0,0,NONE,0,0,NONE,0,Left_wing,లెఫ్ట్ వింగ్,185,93,27.2,27.2<ref>{{Cite web|url=https://www.kaggle.com/datasets/alexbenzik/nhl-players-statistics |title=Plants data|website=https://www.kaggle.com}}</ref>,"Flin Flon, Manitoba","ఫ్లిన్ ఫ్లోన్, మానిటోబా",22,1
