Index,Name,Name,Date_of_birth,Season_year,Season,Team,Games_Played,Goals,Assists,Points,PlusMinus_Ratings,Penalty_Minutes,Shots_on_Goal,,Shooting_Percentage,PowerPlay_Assists,Short_Goals,Short_Assists,Game_Winning_Goals,Game_Tying_Goals,Time_on_Ice_per_Game,Production,Number,Games_Started,Wins,Losses,Ties,Overtime_Losses,Goals_Against,Goals_Against_Average,Shots_Against,Saves,Save_Percentage,Shutouts,Position,Height,Weight,Body_mass_index,Place_of_birth,Place_of_birth,Age,Experience
2018,Martin Sonnenberg,మార్టిన్ సొన్నెంబర్గ్,1/23/1978,1999,'98-'99,PIT,44,1,1,2,-2,19,12,,8.3,0,0,0,0,0,0:00,0:00,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,89,26.6,"Westaskiwin, Alberta","వెస్టాస్కివిన్, ఆల్బర్టా",21,1
2019,Martin Spanhel,మార్టిన్ స్పాంహెల్,7/1/1977,2001,'00-'01,CBJ,6,1,0,1,-1,2,8,,12.5,0,0,0,0,0,12:29,74:54,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,188,93,26.3,Zlin,జ్లైన్,24,1
2020,Martin St. Louis,మార్టిన్ స్ట్. లూయిస్,6/18/1975,1999,'98-'99,CGY,13,1,1,2,-2,10,14,,7.1,1,0,0,0,0,0:00,0:00,26,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,173,80,26.7,"Laval, Quebec","లవల్, క్వీబెక్",24,1
2021,Martin St. Pierre,మార్టిన్ స్ట్. పైర్రే,8/11/1983,2006,'05-'06,CHI,2,0,0,0,-1,0,1,,0,0,0,0,0,NONE,12:02,0:00,57,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,175,85,27.8,"Embrun, Ontario","ఎంబ్రూన్, ఓంటేరియో",23,1
2022,Martin Straka,మార్టిన్ స్త్రాక,9/3/1972,1993,'92-'93,PIT,42,3,13,16,2,29,28,,10.7,2,0,0,1,0,0:00,0:00,82,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,175,82,26.8,"Plzen, Czechoslovakia","ప్ల్జెన్, కక్చోస్లోవేవియా",21,1
2023,Martin Strbak,మార్టిన్ స్తర్బక్,1/15/1975,2004,'03-'04,PIT,44,3,11,14,-11,38,47,,6.4,4,0,0,0,0,19:31,61:19,6,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,95,26.3,Presov,ప్రేసోవ్,29,1
2024,Martins Karsums,మార్టిన్స్ కర్సంస్,2/25/1986,2009,'08-'09,BOS,6,0,1,1,-3,0,6,,0,0,0,0,0,NONE,9:45,58:28,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,178,90,28.4,"Riga, USSR","రీగా, అస్స్ర్",23,1
2025,Martti Jarventie,మార్టీ జర్వెంటీ,4/4/1976,2002,'01-'02,MTL,1,0,0,0,2,0,0,,0,0,0,0,0,0,12:57,0:00,59,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,180,84,25.9,Tampere,తంపేరే,26,1
2026,Marty McInnis,మార్టీ ఎంసినిస్,6/2/1970,1992,'91-'92,NYI,15,3,5,8,6,0,24,,12.5,1,0,1,0,0,0:00,0:00,10,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,180,85,26.2,"Hingham, Massachusetts","హింఘామ్, మస్సాచ్‌చ్షట్స్",22,1
2027,Marty McSorley,మార్టీ ఎంక్సోర్లీ,5/18/1963,1984,'83-'84,PIT,72,2,7,9,-39,224,75,,2.7,0,0,0,0,0,0:00,0:00,29,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,107,30.3,"Hamilton, Ontario","హామిల్టన్, ఓంటేరియో",21,1
2028,Marty Murray,మార్టీ మూర్రాయ్,2/16/1975,1996,'95-'96,CGY,15,3,3,6,-4,0,22,,13.6,2,0,0,0,0,0:00,0:00,34,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,175,82,26.8,"Deloraine, Manitoba","డెలరైన్, మనితోబా",21,1
2029,Marty Reasoner,మార్టీ రియాసోనర్,2/26/1977,1999,'98-'99,STL,22,3,7,10,2,8,33,,9.1,4,0,0,0,0,0:00,0:00,16,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,89,26,"Honeoye Falls, New York","హోనేవ్య్ ఫాల్స్, న్యూ యార్క్",22,1
2030,Marty Turco,మార్టీ టర్కో,8/13/1975,2001,'00-'01,DAL,26,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,48:40,NONE,1,20,13,6,1,NONE,40,1.9,532,492,0.925,3,Goaltender,180,83,25.6,"Saul Ste. Marie, Ontario","సాల్ స్ట్. మరియే, ఓంటేరియో",26,1
2031,Masi Marjamaki,మసి మార్జమకి,1/16/1985,2006,'05-'06,NYI,1,0,0,0,0,0,0,,0,0,0,0,0,NONE,5:17,0:00,58,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,188,88,24.9,"Pori, Finland","పోరి, ఫైన్లాండ్",21,1
2032,Mason Raymond,మసోన్ రాయ్మోండ్,9/17/1985,2008,'07-'08,VAN,49,9,12,21,1,2,80,,11.3,5,0,0,0,NONE,12:31,29:13,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,84,25.1,"Calgary, Alberta","కాల్గరీ, ఆల్బర్టా",23,1
2033,Mat Clark,మాట్ క్లార్క్,10/17/1990,2012,'11-'12,ANA,2,0,0,0,-2,0,2,,0,0,0,0,0,NONE,11:02,0:00,5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,102,28.2,"Campbellville, Ontario","కండెల్విల్లీ, ఓంటేరియో",22,1
2034,Mathias Johansson,మతియాస్ జహన్స్సన్,2/22/1974,2003,'02-'03,PIT,12,1,5,6,1,4,16,,6.3,0,0,0,0,0,17:04,34:08,20,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,84,23.8,Oskarshamn,ఆస్కర్షమ్న్,29,1
2035,Mathias Tjarnqvist,మతియాస్ టార్నార్న్క్వర్నిస్,4/15/1979,2004,'03-'04,DAL,18,1,1,2,-6,2,11,,9.1,0,0,0,1,0,9:43,87:30,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,188,89,25.2,"Umea, Sweden","ఉమె, స్వీడన్",25,1
2036,Mathieu Biron,మత్తియూ బైరాన్,4/29/1980,2000,'99-'00,NYI,60,4,4,8,-13,38,70,,5.7,2,0,0,2,0,15:18,114:48,34,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,201,104,25.7,"Lac St. Charles, Quebec","లాక్ స్ట్. చార్లెస్, క్వీబెక్",20,1
2037,Mathieu Carle,మత్తియూ కార్లే,9/30/1987,2010,'09-'10,MTL,3,0,0,0,1,4,2,,0,0,0,0,0,NONE,14:28,0:00,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,91,27.2,"Gatineau, Quebec","గతినియవు, క్వీబెక్",23,1
2038,Mathieu Chouinard,మత్తియూ చౌయినార్డ్,4/11/1980,2004,'03-'04,LA,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,2:43,NONE,46,0,0,0,0,NONE,0,0,2,2,1,0,Goaltender,185,96,28.1,"Laval, Quebec","లవల్, క్వీబెక్",24,1
2039,Mathieu Dandenault,మత్తియూ దండెనాల్ట్,2/3/1976,1996,'95-'96,DET,34,5,7,12,6,6,32,,15.6,0,0,0,0,0,0:00,0:00,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,98,29.3,"Sherbrooke, Quebec","షెర్బ్రూక్, క్వీబెక్",20,1
2040,Mathieu Darche,మత్తియూ దర్చే,11/26/1976,2001,'00-'01,CBJ,9,0,0,0,-4,0,9,,0,0,0,0,0,0,10:07,0:00,52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,94,27.5,"Montreal, Quebec","మాంట్రీల్, క్వీబెక్",25,1
2041,Mathieu Garon,మత్తియూ గారాన్,1/9/1978,2001,'00-'01,MTL,11,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,53:34,NONE,29,9,4,5,1,NONE,24,2.44,233,209,0.897,2,Goaltender,185,93,27.2,"Chandler, Quebec","చండ్లర్, క్వీబెక్",23,1
2042,Mathieu Perreault,మత్తియూ పెర్ర్రెల్ట్,1/5/1988,2010,'09-'10,WSH,21,4,5,9,4,6,27,,14.8,0,0,0,0,NONE,11:21,26:29,85,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,178,85,26.8,"Drummondville, Quebec","డ్రుమొండ్విల్లిల్, క్వీబెక్",22,1
2043,Mathieu Roy,మత్తియూ రాయ్,8/10/1983,2006,'05-'06,EDM,1,0,0,0,-1,0,0,,0,0,0,0,0,NONE,13:00,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,94,26.6,"St. Georges De Beauce, Quebec","స్ట్. జార్జ్స్ డి బిస్యౌస్, క్వీబెక్",23,1
2044,Mathieu Schneider,మత్తియూ స్కీనీదర్,6/12/1969,1988,'87-'88,MTL,4,0,0,0,-1,2,2,,0,0,0,0,0,0,0:00,0:00,23,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,87,26,"New York, New York","న్యూ యార్క్, న్యూ యార్క్",19,1
2045,Mats Lindgren,మ్యాట్స్ లిండ్జ్రెన్,10/1/1974,1997,'96-'97,EDM,69,11,14,25,-7,12,71,,15.5,1,3,0,1,0,0:00,0:00,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,91,25.8,Skelleftea,స్కెలెఫ్టెట్యే,23,1
2046,Mats Naslund,మ్యాట్స్ నాస్లండ్,10/31/1959,1983,'82-'83,MTL,74,26,45,71,34,10,122,,21.3,11,0,0,6,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,170,72,24.9,Timra,తిమ్ర,24,1
2047,Mats Sundin,మ్యాట్స్ సుందిన్,2/13/1971,1991,'90-'91,QUE,80,23,36,59,-24,58,155,,14.8,8,0,0,0,1,0:00,0:00,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,196,105,27.3,"Bromma, Sweden","బ్రోమ్మా, స్వీడన్",20,1
2048,Mats Zuccarello,మ్యాట్స్ జక్కరెల్లో,9/1/1987,2011,'10-'11,NYR,42,6,17,23,3,4,74,,8.1,9,0,0,2,NONE,14:10,25:53,36,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,173,83,27.7,"Oslo, Norway","ఆస్లో, నార్వే",24,1
2049,Matt Bartkowski,మట్ బర్ట్కౌస్కి,6/4/1988,2011,'10-'11,BOS,6,0,0,0,-1,4,2,,0,0,0,0,0,NONE,9:10,0:00,44,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,90,26.3,"Pittsburgh, Pennsylvania","పిట్ట్స్బూర్గ్, పెన్సిల్వ్వేనియా",23,1
2050,Matt Beleskey,మట్ బెలెస్కెయ్,6/7/1988,2009,'08-'09,ANA,2,0,0,0,0,0,0,,0,0,0,0,0,NONE,11:10,0:00,39,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,94,28.1,"Windsor, Ontario","విండ్సర్, ఓంటేరియో",21,1
2051,Matt Bradley,మట్ బ్రడ్లీ,6/13/1978,2001,'00-'01,SJ,21,1,1,2,0,19,16,,6.3,0,0,0,0,0,6:58,73:05,22,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,190,91,25.2,"Stittsville, Ontario","స్టిట్ట్స్విల్లే, ఓంటేరియో",23,1
2052,Matt Calvert,మట్ కాల్వర్ట్,12/24/1989,2011,'10-'11,CBJ,42,11,9,20,3,12,50,,22,1,0,0,1,NONE,11:06,23:18,11,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,87,26.9,"Brandon, Manitoba","బ్రండన్, మనితోబా",22,1
2053,Matt Campanale,మట్ కంపానాలె,2/14/1988,2011,'10-'11,NYI,1,0,0,0,0,2,0,,0,0,0,0,0,NONE,8:21,0:00,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,180,91,28.1,"Phoenixville, Pennsylvania","ఫోనిక్స్విల్లె, పెన్సిల్వ్వేనియా",23,1
2054,Matt Carkner,మట్ కార్క్నర్,11/3/1980,2006,'05-'06,SJ,1,0,1,1,0,2,0,,0,0,0,0,0,NONE,6:01,6:01,7,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,193,103,27.6,"Winchester, Ontario","వించేస్తెర్, ఓంటేరియో",26,1
2055,Matt Carle,మట్ కార్లే,9/25/1984,2006,'05-'06,SJ,12,3,3,6,-2,14,11,,27.3,2,0,0,1,NONE,16:07,32:15,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,89,26.6,"Anchorage, Alaska","అంచోరాజే, అలస్క",22,1
2056,Matt Climie,మట్ క్లిమీ,2/11/1983,2009,'08-'09,DAL,3,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,61:41,NONE,45,3,2,1,NONE,0,9,2.92,85,76,0.894,0,Goaltender,190,88,24.4,"Leduc, Alberta","లీడక్, ఆల్బర్టా",26,1
2057,Matt Cooke,మట్ కూకే,9/7/1978,1999,'98-'99,VAN,30,0,2,2,-12,27,22,,0,0,0,0,0,0,0:00,0:00,24,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,180,93,28.7,"Belleville, Ontario","బెల్లెవిల్లే, ఓంటేరియో",21,1
2058,Matt Corrente,మట్ కారెంటె,3/17/1988,2010,'09-'10,NJ,12,0,0,0,0,24,6,,0,0,0,0,0,NONE,8:51,0:00,76,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,93,27.8,"Mississauga, Ontario","మిస్సాగాయా, ఓంటేరియో",22,1
2059,Matt Cullen,మట్ కల్లెన్,11/2/1976,1998,'97-'98,ANA,61,6,21,27,-4,23,75,,8,4,0,0,0,0,0:00,0:00,7,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,185,91,26.6,"Virginia, Minnesota","విర్జీనియా, మిన్నెసోటా",22,1
2060,Matt D'Agostini,మట్ డి'అగోస్తిని,10/23/1986,2008,'07-'08,MTL,1,0,0,0,0,2,0,,0,0,0,0,0,NONE,8:49,0:00,27,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,89,26.6,"Sault Ste. Marie, Ontario","సాల్ట్ స్ట్. మరియే, ఓంటేరియో",22,1
2061,Matt Davidson,మట్ డ్యాడిడ్సన్,8/9/1977,2001,'00-'01,CBJ,5,0,0,0,2,0,2,,0,0,0,0,0,0,7:14,0:00,41,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,190,89,24.6,"Flin Flon, Manitoba","ఫ్లిన్ ఫ్లోన్, మనితోబా",24,1
2062,Matt Donovan,మట్ డొనోవాన్,5/9/1990,2012,'11-'12,NYI,3,0,0,0,-3,0,6,,0,0,0,0,0,NONE,18:34,0:00,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,93,27.2,"Edmond, Oklahoma","ఎడ్మండ్, ఒక్లహోమ",22,1
2063,Matt Duchene,మట్ దుచెనే,1/16/1991,2010,'09-'10,COL,81,24,31,55,1,16,180,,13.3,11,1,0,2,NONE,17:44,26:07,95,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,88,27.2,"Halliburton, Ontario","హాలిబర్ల్టన్, ఓంటేరియో",19,1
2064,Matt Elich,మట్ ఎలిచ్,9/22/1979,2000,'99-'00,TB,8,1,1,2,-1,0,5,,20,0,0,0,0,0,6:07,24:28,73,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,190,89,24.6,"Detroit, Michigan","డెట్రాయిట్, మిచిగన్",21,1
2065,Matt Ellis,మట్ ఎల్లిస్,8/31/1981,2007,'06-'07,DET,16,0,0,0,-1,6,22,,0,0,0,0,0,NONE,5:33,0:00,37,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,183,94,28.1,"Welland, Ontario","వెళ్ళాండ్, ఓంటేరియో",26,1
2066,Matt Ellison,మట్ ఎల్లిసన్,12/8/1983,2004,'03-'04,CHI,10,0,1,1,-3,0,4,,0,0,0,0,0,0,12:40,126:42,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,87,26,"Duncan, British Columbia","డుంకాన్, బ్రిటిష్ కొలంబియా",21,1
2067,Matt Foy,మట్ ఫాయ్,5/18/1983,2006,'05-'06,MIN,19,2,3,5,-4,16,21,,9.5,0,0,0,0,NONE,10:59,41:45,36,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,188,99,28,"Oakville, Ontario","ఆక్విల్లే, ఓంటేరియో",23,1
2068,Matt Frattin,మట్ ఫ్రాటిన్,1/3/1988,2011,'10-'11,TOR,1,0,0,0,-1,0,5,,0,0,0,0,0,NONE,15:34,0:00,38,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,183,91,27.2,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",23,1
2069,Matt Gilroy,మట్ గిల్రోయ్,7/19/1984,2010,'09-'10,NYR,69,4,11,15,0,23,82,,4.9,3,0,0,1,NONE,16:19,75:03,97,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,91,26.6,"North Bellmore, New York","నోర్త్ బెల్ల్మోర్, న్యూ యార్క్",26,1
2070,Matt Greene,మట్ గ్రీన్,5/13/1983,2006,'05-'06,EDM,27,0,2,2,-6,43,10,,0,0,0,0,0,NONE,11:13,151:27,2,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,107,29.6,"Grand Ledge, Michigan","గ్రాండ్ లెడ్జ్, మిచిగన్",23,1
2071,Matt Hackett,మట్ హాకెట్,3/7/1990,2012,'11-'12,MIN,12,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,46:18,NONE,31,7,3,6,NONE,0,22,2.38,282,260,0.922,0,Goaltender,188,78,22.1,"London, Ontario","లాండన్, ఓంటేరియో",22,1
2072,Matt Halischuk,మట్ హలీస్చకు,6/1/1988,2009,'08-'09,NJ,1,0,1,1,-1,0,0,,0,0,0,0,0,NONE,9:47,9:47,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,180,85,26.2,"Toronto, Ontario","టోరంటో, ఓంటేరియో",21,1
2073,Matt Henderson,మట్ హెండర్సన్,3/1/1974,1999,'98-'99,NSH,2,0,0,0,-1,2,0,,0,0,0,0,0,0,0:00,0:00,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,185,92,26.9,"White Bear Lake, Minnesota","విట్ట్ బీర్ లాకే, మిన్నెసోటా",25,1
2074,Matt Hendricks,మట్ హెండ్రిక్స్,6/17/1981,2009,'08-'09,COL,4,0,0,0,1,13,5,,0,0,0,0,0,NONE,8:30,0:00,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,183,94,28.1,"Blaine, Minnesota","బ్లైన్, మిన్నెసోటా",28,1
2075,Matt Herr,మట్ హర్,5/26/1976,1999,'98-'99,WSH,30,2,2,4,-7,8,40,,5,1,0,0,0,0,0:00,0:00,63,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,93,26.3,"Hackensack, New Jersey","హ్యాకెంస్క్, న్యూ జెర్సీ",23,1
2076,Matt Higgins,మట్ హిగ్గిన్స్,10/29/1977,1998,'97-'98,MTL,1,0,0,0,-1,0,1,,0,0,0,0,0,0,0:00,0:00,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,188,84,23.8,"Calgary, Alberta","కాల్గరీ, ఆల్బర్టా",21,1
2077,Matt Hunwick,మట్ హున్క్విక్,5/21/1985,2008,'07-'08,BOS,13,0,1,1,-1,4,6,,0,1,0,0,0,NONE,10:34,137:21,48,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,180,88,27.2,"Warren, Michigan","వారెన్, మిచిగన్",23,1
2078,Matt Hussey,మట్ హస్సీ,5/28/1979,2004,'03-'04,PIT,3,2,1,3,-1,0,8,,25,0,0,0,0,0,13:35,13:35,24,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,188,96,27.2,"New Haven, Connecticut","న్యూ హావెన్, కనెక్టిక్టిక్వ్ట్",25,1
2079,Matt Irwin,మట్ ఎర్విన్,11/29/1987,2013,'12-'13,SJ,38,6,6,12,-1,10,79,,7.6,1,0,0,0,NONE,19:06,60:29,52,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,94,27.5,"Victoria, British Columbia","విక్టోరియా, బ్రిటిష్ కొలంబియా",26,1
2080,Matt Johnson,మట్ జాన్సన్,11/23/1975,1995,'94-'95,LA,14,1,0,1,0,102,4,,25,0,0,0,0,0,0:00,0:00,12,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,196,105,27.3,"Welland, Ontario","వెళ్ళాండ్, ఓంటేరియో",20,1
2081,Matt Jones,మట్ జోన్స్,8/8/1983,2006,'05-'06,PHX,16,0,2,2,-2,14,10,,0,0,0,0,0,NONE,11:35,92:37,5,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,183,98,29.3,"Downers Grove, Illinois","డౌనర్స్ గ్రోవ్, ఇల్లినోయిస్",23,1
2082,Matt Kassian,మట్ కష్సియన్,10/28/1986,2011,'10-'11,MIN,4,0,0,0,-1,12,1,,0,0,0,0,0,NONE,5:29,0:00,25,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,196,112,29.1,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",25,1
2083,Matt Keetley,మట్ కీట్లే,4/27/1986,2008,'07-'08,CGY,1,NONE,NONE,NONE,NONE,NONE,NONE,,NONE,NONE,NONE,NONE,NONE,NONE,9:22,NONE,36,0,0,0,NONE,0,0,0,2,2,1,0,Goaltender,188,86,24.3,"Medicine Hat, Alberta","మెడిసిన్ హాట్, ఆల్బర్టా",22,1
2084,Matt Keith,మట్ కీత్,4/11/1983,2004,'03-'04,CHI,20,2,3,5,-5,10,21,,9.5,0,0,0,0,1,11:58,47:50,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,188,91,25.8,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",21,1
2085,Matt Koalska,మట్ కోల్స్క,5/16/1980,2006,'05-'06,NYI,3,0,0,0,-1,2,3,,0,0,0,0,0,NONE,5:44,0:00,40,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,86,26.5,"St. Paul, Minnesota","స్ట్. పాల్, మిన్నెసోటా",26,1
2086,Matt Lashoff,మట్ లాశోఫ్,9/29/1986,2007,'06-'07,BOS,12,0,2,2,-6,12,8,,0,0,0,0,0,NONE,14:55,89:32,46,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,188,93,26.3,"East Greenbush, New York","ఈస్ట్ గ్రీంబుష్, న్యూ యార్క్",21,1
2087,Matt Martin,మట్ మార్టిన్,4/30/1971,1994,'93-'94,TOR,12,0,1,1,0,6,6,,0,0,0,0,0,0,0:00,0:00,28,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,190,93,25.8,"Hamden, Connecticut","హందెన్, కనెక్టిక్టిక్వ్ట్",23,1
2088,Matt Murley,మట్ మర్లీ,12/17/1979,2004,'03-'04,PIT,18,1,1,2,-6,14,20,,5,0,0,0,0,0,11:49,106:20,21,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,93,27.2,"Troy, New York","ట్రాయ్, న్యూ యార్క్",25,1
2089,Matt Niskanen,మట్ నిస్కానెన్,12/6/1986,2008,'07-'08,DAL,78,7,19,26,22,36,99,,7.1,6,0,0,0,NONE,20:29,61:28,15,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,185,91,26.6,"Virginia, Minnesota","విర్జీనియా, మిన్నెసోటా",22,1
2090,Matt Pelech,మట్ పెలెచ్,9/4/1987,2009,'08-'09,CGY,5,0,3,3,1,9,4,,0,0,0,0,0,NONE,13:16,22:07,42,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Right_wing,193,107,28.7,"Toronto, Ontario","టోరంటో, ఓంటేరియో",22,1
2091,Matt Pettinger,మట్ పెట్టిగర్,10/22/1980,2001,'00-'01,WSH,10,0,0,0,-1,2,6,,0,0,0,0,0,0,7:47,0:00,13,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Left_wing,185,93,27.2,"Edmonton, Alberta","ఎడ్మంటన్, ఆల్బర్టా",21,1
2092,Matt Ryan,మట్ ర్యాన్,11/12/1983,2006,'05-'06,LA,12,0,1,1,-4,2,8,,0,0,0,0,0,NONE,6:07,73:21,40,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Centre,180,83,25.6,"Sharon, Ontario","షారాన్, ఓంటేరియో",23,1
2093,Matt Smaby,మట్ స్మబీ,10/14/1984,2008,'07-'08,TB,14,0,0,0,-6,12,7,,0,0,0,0,0,NONE,12:08,0:00,55,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,Defence,198,108,27.6,"Minneapolis, Minnesota","మిన్నియాపోలిస్, మిన్నెసోటా",24,1
